"checked_at","package_root","item","exists","bytes"
"2026-06-11 01:00:40","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","High_Impact_Publication_Display_Index_2026-06-11.xlsx","True","27288"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","README_high_impact_publication_figures_tables.md","True","775"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","legends\figure_legends_high_impact.md","True","5067"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","logs\figure_manifest_high_impact.csv","True","24806"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","logs\figure_quality_check_high_impact.csv","True","26297"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","tables\main\main_table_manifest.csv","True","2062"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\ShiYiSiNan_CGMacros\outputs\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","tables\supplementary\supplementary_table_manifest.csv","True","13811"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","High_Impact_Publication_Display_Index_2026-06-11.xlsx","True","27288"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","README_high_impact_publication_figures_tables.md","True","775"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","legends\figure_legends_high_impact.md","True","5067"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","logs\figure_manifest_high_impact.csv","True","24806"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","logs\figure_quality_check_high_impact.csv","True","26297"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","tables\main\main_table_manifest.csv","True","2062"
"2026-06-11 01:00:41","C:\Users\liu12\OneDrive\Desktop\NHANES_MetS_Project\result\integrated_mainline\high_impact_publication_figures_tables_2026-06-11","tables\supplementary\supplementary_table_manifest.csv","True","13811"
